movieId,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Waiting to Exhale (1995),Comedy|Drama|Romance
4,Father of the Bride Part II (1995),Comedy
5,Heat (1995),Action|Crime|Thriller
6,Sabrina (1995),Comedy|Romance
7,Tom and Huck (1995),Adventure|Children
8,Sudden Death (1995),Action
9,GoldenEye (1995),Action|Adventure|Thriller
10,"American President, The (1995)",Comedy|Drama|Romance
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Adventure|Animation|Children
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Comedy
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,Get Shorty (1995),Comedy|Crime|Thriller
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,Assassins (1995),Action|Crime|Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Children|Drama
27,Persuasion (1995),Drama|Romance
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Babe (1995),Children|Drama
33,Carrington (1995),Drama|Romance
34,Dead Man Walking (1995),Crime|Drama
35,It Takes Two (1995),Children|Comedy
36,Clueless (1995),Comedy|Romance
37,"Cry, the Beloved Country (1995)",Drama
38,Richard III (1995),Drama|War
39,Dead Presidents (1995),Action|Crime|Drama
40,Restoration (1995),Drama
41,Mortal Kombat (1995),Action|Adventure|Fantasy
42,To Die For (1995),Comedy|Drama|Thriller
43,How to Make an American Quilt (1995),Drama|Romance
44,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
46,When Night Is Falling (1995),Drama|Romance
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
48,Mighty Aphrodite (1995),Comedy|Drama|Romance
49,Lamerica (1994),Adventure|Drama
50,"Big Green, The (1995)",Children|Comedy
51,Georgia (1995),Drama
52,Home for the Holidays (1995),Drama
53,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
54,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
55,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
56,Eye for an Eye (1996),Drama|Thriller
57,Mr. Holland's Opus (1995),Drama
58,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
59,Two if by Sea (1996),Comedy|Romance
60,Bio-Dome (1996),Comedy
61,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
62,French Twist (Gazon maudit) (1995),Comedy|Romance
63,Friday (1995),Comedy
64,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
65,Fair Game (1995),Action
66,Kicking and Screaming (1995),Comedy|Drama
67,"Misérables, Les (1995)",Drama|War
68,Bed of Roses (1996),Drama|Romance
69,Big Bully (1996),Comedy|Drama
70,Screamers (1995),Action|Sci-Fi|Thriller
71,Nico Icon (1995),Documentary
72,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
73,"Juror, The (1996)",Drama|Thriller
74,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
75,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
76,Antonia's Line (Antonia) (1995),Comedy|Drama
77,Once Upon a Time... When We Were Colored (1995),Drama|Romance
78,Last Summer in the Hamptons (1995),Comedy|Drama
79,Angels and Insects (1995),Drama|Romance
80,White Squall (1996),Action|Adventure|Drama
81,Dunston Checks In (1996),Children|Comedy
82,Black Sheep (1996),Comedy
83,Nick of Time (1995),Action|Thriller
84,"Journey of August King, The (1995)",Drama
85,Mary Reilly (1996),Drama|Horror|Thriller
86,Vampire in Brooklyn (1995),Comedy|Horror|Romance
87,Beautiful Girls (1996),Comedy|Drama|Romance
88,Broken Arrow (1996),Action|Adventure|Thriller
89,In the Bleak Midwinter (1995),Comedy|Drama
90,"Hate (Haine, La) (1995)",Crime|Drama
91,Shopping (1994),Action|Thriller
92,Heidi Fleiss: Hollywood Madam (1995),Documentary
93,City Hall (1996),Drama|Thriller
94,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
95,Mr. Wrong (1996),Comedy
96,Unforgettable (1996),Mystery|Sci-Fi|Thriller
97,Happy Gilmore (1996),Comedy
98,"Bridges of Madison County, The (1995)",Drama|Romance
99,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
100,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
101,Braveheart (1995),Action|Drama|War
102,Taxi Driver (1976),Crime|Drama|Thriller
103,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
104,Before and After (1996),Drama|Mystery
105,Margaret's Museum (1995),Drama
106,Anne Frank Remembered (1995),Documentary
107,"Young Poisoner's Handbook, The (1995)",Crime|Drama
108,If Lucy Fell (1996),Comedy|Romance
109,"Steal Big, Steal Little (1995)",Comedy
110,Race the Sun (1996),Adventure|Comedy|Drama
111,"Boys of St. Vincent, The (1992)",Drama
112,Boomerang (1992),Comedy|Romance
113,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
114,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
115,Flirting With Disaster (1996),Comedy
116,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
117,Pie in the Sky (1996),Comedy|Romance
118,Frankie Starlight (1995),Drama|Romance
119,Jade (1995),Thriller
120,Down Periscope (1996),Comedy
121,From the Journals of Jean Seberg (1995),Documentary
122,Man of the Year (1995),Documentary
123,"Neon Bible, The (1995)",Drama
124,Up Close and Personal (1996),Drama|Romance
125,"Birdcage, The (1996)",Comedy
126,"Brothers McMullen, The (1995)",Comedy
127,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
128,"Amazing Panda Adventure, The (1995)",Adventure|Children
129,"Basketball Diaries, The (1995)",Drama
130,"Awfully Big Adventure, An (1995)",Drama
131,Amateur (1994),Crime|Drama|Thriller
132,Apollo 13 (1995),Adventure|Drama|IMAX
133,Rob Roy (1995),Action|Drama|Romance|War
134,"Addiction, The (1995)",Drama|Horror
135,Batman Forever (1995),Action|Adventure|Comedy|Crime
136,Beauty of the Day (Belle de jour) (1967),Drama
137,Beyond Rangoon (1995),Adventure|Drama|War
138,Blue in the Face (1995),Comedy|Drama
139,Canadian Bacon (1995),Comedy|War
140,Casper (1995),Adventure|Children
141,Clockers (1995),Crime|Drama|Mystery
142,Congo (1995),Action|Adventure|Mystery|Sci-Fi
143,Crimson Tide (1995),Drama|Thriller|War
144,Crumb (1994),Documentary
145,Desperado (1995),Action|Romance|Western
146,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
